id,category,category_code,category_name,question,compliance_expectation,tags,_normalized_tags
142,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is 100% due diligence performed on active DSVs?,Due diligence records for all vendors,A,A
143,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are R2 certifications verified as current?,R2 certificate verification records,A,A
144,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are non-R2 vendors audited annually?,Annual audit reports,A,A
145,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is the recycling chain tracked to final disposition?,Complete chain documentation,A,A
146,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV changes registered with SERI if using A(4)(b)?,SERI registration confirmation,A,A
147,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are transboundary movements verified as legal?,Import/export compliance documentation,A,A
148,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is waste status determined for international shipments?,Waste determination procedures,A,A
149,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV capabilities verified for FM processing?,Capability assessment documentation,A,A
150,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Do DSVs have required management systems?,DSV EHSMS verification,A,A
151,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV permits current and appropriate?,Permit verification records,A,A
152,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are data sanitization DSVs properly audited?,Independent audit by qualified auditor,A,A
153,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Do refurbishment DSVs only sell functional equipment?,DSV sales verification,A,A
154,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are materials recovery DSVs compliant with Appendix E?,Appendix E compliance verification,A;E,A;E
155,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are brokering DSVs qualified to Appendix F?,Broker qualification records,A;F,A;F
156,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is DSV throughput tracking verified?,DSV tracking documentation,A,A
157,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are negative value materials covered by insurance?,Pollution liability verification,A,A
158,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are supplier notifications provided upon request?,Transparency procedures,A,A
159,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Is receipt at DSVs verified?,Delivery confirmation records,A,A
160,APPENDIX A: DOWNSTREAM RECYCLING CHAIN,APPENDIX A,DOWNSTREAM RECYCLING CHAIN,Are DSV storage times monitored?,<1 year storage verification,A,A
161,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are logical and physical sanitization methods defined?,Method specifications for each,B,B
162,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are quality controls documented for verification?,QC procedures and records,B,B
163,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is device traceability maintained through sanitization?,Unique identifier tracking,B,B
164,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are workers trained on specific sanitization methods?,Method-specific training records,B,B
165,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are user markings removed from devices?,Label removal procedures,B,B
166,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are physical security controls appropriate?,Locked/alarmed access points,B,B
167,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are work areas fully enclosed and secured?,Enclosed space verification,B,B
168,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is CCTV coverage comprehensive with 60-day retention?,Camera coverage map and recordings,B,B
169,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is security actively monitored?,Monitoring procedures and logs,B,B
170,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are security controls regularly tested?,Security test records,B,B
171,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Can any device be located at any time?,Real-time inventory tracking,B,B
172,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are off-site sanitization services compliant?,Off-site compliance verification,B,B
173,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are physical destruction methods appropriate?,Table 1 method compliance,B,B
174,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are NSA-approved methods used where applicable?,EPL equipment verification,B,B
175,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are degaussers rated for media types?,Degausser specifications,B,B
176,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are more stringent customer requirements met?,Customer requirement compliance,B,B
177,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are destruction videos retained for 60 days?,Video retention verification,B,B
178,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are software sanitization records complete?,Electronic records by serial number,B,B
179,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is software configured to sanitize all locations?,Software configuration verification,B,B
180,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is software maintained with current patches?,Patch management records,B,B
181,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are remote service connections removed?,Account disconnection procedures,B,B
182,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is 1-5% sampling performed on logical sanitization?,Sampling records and results,B,B
183,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are unsuccessful sanitizations physically destroyed?,Failed device destruction records,B,B
184,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Are quantities processed reconciled with received?,Quantity reconciliation records,B,B
185,APPENDIX B: DATA SANITIZATION,APPENDIX B,DATA SANITIZATION,Is Data Protection Representative approval required?,Release authorization records,B,B
186,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Is QMS certification maintained for test/repair operations?,Valid QMS certificate with appropriate scope,C,C
187,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Is an R2 Reuse Plan documented?,Complete reuse plan document,C,C
188,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are worker competencies defined and verified?,Competency requirements and records,C,C
189,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are product safety plans implemented?,Safety verification procedures,C,C
190,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are test plans defined for each equipment type?,Function-specific test procedures,C,C
191,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are pass/fail criteria clearly established?,Documented acceptance criteria,C,C
192,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are test results documented and stored?,Test records by serial number,C,C
193,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are quality assurance plans effective?,QA procedures and metrics,C,C
194,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Is test equipment accuracy verified?,Calibration records,C,C
195,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are failed items prevented from unintended use?,Segregation and control procedures,C,C
196,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Is a product return policy maintained?,Return policy documentation,A;C,A;C
197,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are items tested within one year of receipt?,Processing time records,C,C
198,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Is data sanitized before testing?,Pre-test sanitization verification,C,C
199,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are functional categories properly assigned?,REC category assignment records,C,C
200,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are safety assessments performed on functional equipment?,Safety check documentation,C,C
201,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are test results maintained for each function?,Complete test documentation,C,C
202,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are non-functional items properly managed?,Repair or materials recovery routing,C,C
203,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are reusable components harvested?,Component recovery procedures,C,C
204,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Is cosmetic condition accurately described?,Condition grading standards,C,C
205,APPENDIX C: TEST AND REPAIR,APPENDIX C,TEST AND REPAIR,Are recalls checked and addressed?,Recall verification procedures,C,C
206,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Is Appendix C certification also maintained?,Dual certification verification,C;D,C;D
207,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are technicians competent for specialty electronics?,Specialized training records,D,D
208,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Is testable specialty equipment actually tested?,Test records where capable,D,D
209,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Is prior functionality verified for untestable items?,Source verification documentation,D,D
210,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are items inspected for physical damage?,Visual inspection records,D,D
211,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are part numbers verified as accurate?,Part number verification procedures,D,D
212,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Is data sanitization verified from source?,Source sanitization confirmation,D,D
213,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are failed verifications properly managed?,Component harvesting procedures,D,D
214,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are verified items tracked individually?,Unique identifier assignment,D,D
215,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Is specialty equipment protected during storage?,Protective packaging standards,D,D
216,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are items labeled with facility information?,Label application records,D,D
217,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are items identified as Verified Specialty Electronics?,REC category assignment,D,D
218,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Do stored items maintain positive value?,Value assessment records,D,D
219,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are sales limited to specific part requests?,Sales order verification,D,D
220,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Do customers accept untested status?,Customer acknowledgment records,D,D
221,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are returns accepted at no charge?,No-charge return policy,D,D
222,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Is end-user sales verification available?,Sales tracking to end users,D,D
223,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are recycling returns offered free?,Free recycling return program,D,D
224,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are serial numbers tracked on sales documents?,Serial number documentation,D,D
225,APPENDIX D: SPECIALTY ELECTRONICS REUSE,APPENDIX D,SPECIALTY ELECTRONICS REUSE,Are storage conditions appropriate for electronics?,Environmental control verification,D,D
226,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Has a hazards assessment been conducted?,Written hazards identification,A;E,A;E
227,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is the assessment performed by qualified individuals?,Assessor qualification records,E,E
228,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are wash facilities available for decontamination?,Decontamination station verification,E,E
229,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are clean eating areas separated from work areas?,Designated clean areas,E,E
230,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are work clothes restricted from leaving facility?,Clothing control procedures,E,E
231,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is PPE properly cleaned and maintained?,PPE care procedures,E,E
232,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are work areas regularly cleaned?,Cleaning schedules and records,E,E
233,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are lockout/tagout procedures implemented?,LOTO program documentation,E,E
234,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are machine guards in place and functional?,Guard inspection records,E,E
235,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are pre-use equipment inspections performed?,Equipment inspection logs,E,E
236,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is industrial hygiene monitoring conducted?,Air and wipe sampling results,E,E
237,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are mechanical processes re-evaluated annually?,Annual risk reassessment,E,E
238,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is mercury monitored where lamps are processed?,Mercury monitoring data,E,E
239,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is medical monitoring provided for exposures?,Medical surveillance program,E,E
240,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are battery removal areas properly controlled?,Containment measures verification,E,E
241,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are FMs removed before shredding?,Pre-shredding inspection records,E,E
242,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is mercury recovery demonstrated?,Mercury recovery data,E,E
243,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are CRTs/batteries/boards exceptions documented?,Exception justification records,E,E
244,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Is pollution liability insurance maintained?,Insurance policy verification,E,E
245,APPENDIX E: MATERIALS RECOVERY,APPENDIX E,MATERIALS RECOVERY,Are output streams re-categorized?,Output categorization procedures,E,E
246,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are all brokering activities declared in scope?,Scope documentation of brokering,F,F
247,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are brokered materials DSVs properly qualified?,DSV qualification for brokered streams,F,F
248,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Is QMS certification maintained for brokering?,Valid QMS certificate,F,F
249,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are legal requirements identified for brokered materials?,Legal compliance for transactions,F,F
250,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are brokered materials tracked using REC categories?,REC application to brokered items,F,F
251,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Is data security maintained during brokered transport?,Security procedures for shipments,F,F
252,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are throughput records maintained for brokered materials?,Transaction documentation,F,F
253,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are packaging requirements provided to sellers?,Packaging instruction records,F,F
254,APPENDIX F: BROKERING,APPENDIX F,BROKERING,"If no facility exists, are Core 3 and 9 exemptions documented?",Exemption justification,F,F
255,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are broker-only operations properly identified on certificate?,"""Broker Only"""" certificate designation""",F,F
256,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are brokered international shipments verified as legal?,Import/export documentation,F,F
257,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Is Core 10 audited for all brokering operations?,Transport requirement compliance,F,F
258,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are direct shipments from supplier to DSV tracked?,Direct shipment documentation,F,F
259,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are brokered FM materials properly managed?,FM management for brokered items,F,F
260,APPENDIX F: BROKERING,APPENDIX F,BROKERING,Are customer requirements communicated to DSVs?,Requirement flow-down records,F,F
261,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are PV modules managed as R2 Controlled Streams?,PV module categorization records,G,G
262,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are electrical safety hazards assessed?,Electrical hazard assessment,G,G
263,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are PV modules included in FM Management Plan?,FM Plan with PV modules,G,G
264,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Is there a process to prevent electrical conduction?,Written safety procedures,A;G,A;G
265,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are damaged PV modules stored indoors?,Indoor storage verification,G,G
266,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are PV modules evaluated for reuse capability?,Evaluation procedures,G,G
267,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Is power output testing performed?,Wattage test results,G,G
268,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Is output ratio to original capacity disclosed?,Performance disclosure records,G,G
269,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are repairs to PV modules documented?,Repair documentation,G,G
270,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are DSVs qualified for PV module processing?,DSV PV capability verification,G,G
271,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are materials recovery DSVs compliant with requirements?,Appendix E compliance for PV,G,G
272,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Is QMS scope appropriate for PV operations?,QMS certificate including PV/solar,G,G
273,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Is EHSMS scope appropriate for PV handling?,EHSMS certificate including PV/solar,G,G
274,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are solar cells properly managed as FMs?,Solar cell FM procedures,G,G
275,APPENDIX G: PHOTOVOLTAIC (PV) MODULES,APPENDIX G,PHOTOVOLTAIC (PV) MODULES,Are brokered PV modules properly tracked?,PV brokering documentation,G,G
276,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Has the facility completed readiness review requirements?,Readiness checklist completion,,
277,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are all required management system certificates valid?,Current certificates from IAF MLA signatory,,
278,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Has the facility been audited within required timeframes?,Audit schedule compliance,,
279,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are all nonconformities properly closed?,NC closure evidence,,
280,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are audit packages complete with required attachments?,Table 8 document checklist,,
281,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Is the FM Management Plan current and complete?,Updated FM plan with flowchart,,
282,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are transaction sheets accurately completed?,Transaction documentation,,
283,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are campus locations all properly audited?,Multi-location audit evidence,,
284,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Is the correct certification structure identified?,Table 3 structure verification,,
285,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are consultant relationships properly documented?,Consultant disclosure records,,
286,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Have all legal entities been verified?,Business registration documents,,
287,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are DBAs and trade names properly listed?,Name registration verification,,
288,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Is the audit time calculation appropriate?,Tables 4 and 5 compliance,,
289,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are remote audit requirements met if applicable?,Remote audit qualification,,
290,AUDIT PROCESS AND DOCUMENTATION,AUDIT PROCESS AND DOCUMENTATION,,Are witness inspection findings addressed?,SERI inspection responses,,
291,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are financial assurances adequate for risks?,Risk-based financial calculations,,
292,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Is the closure plan comprehensive?,Complete closure procedures,,
293,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are emergency response procedures documented?,Emergency response plan,,
294,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are incident investigations conducted?,Incident investigation records,,
295,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are regulatory inspections properly managed?,Inspection response procedures,,
296,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Is management review conducted regularly?,Management review minutes,,
297,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are performance metrics tracked?,KPI tracking records,,
298,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are customer complaints properly addressed?,Complaint resolution records,,
299,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Is continuous improvement demonstrated?,Improvement project documentation,,
300,RISK MANAGEMENT AND COMPLIANCE,RISK MANAGEMENT AND COMPLIANCE,,Are internal communications effective?,Communication records,,
301,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are all workers properly trained before work?,Pre-work training records,,
302,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Is competency verified for assigned tasks?,Competency assessments,,
303,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are safety meetings conducted regularly?,Safety meeting minutes,,
304,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Is PPE appropriate for hazards?,PPE assessment records,,
305,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are exposure monitoring results communicated?,Employee notification records,,
306,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are work restrictions followed for exposures?,Medical restriction compliance,,
307,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Is first aid available and adequate?,First aid station verification,,
308,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are emergency evacuations practiced?,Evacuation drill records,,
309,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are visitors properly controlled?,Visitor management procedures,,
310,WORKER SAFETY AND TRAINING,WORKER SAFETY AND TRAINING,,Are contractor safety requirements enforced?,Contractor safety programs,,
311,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are receiving inspections performed?,Incoming inspection records,,
312,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are process controls maintained?,Process control documentation,,
313,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are non-conforming materials segregated?,Segregation procedures,,
314,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are corrective actions effective?,CAR effectiveness verification,,
315,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are preventive actions implemented?,Preventive action records,,
316,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Is equipment calibrated as required?,Calibration certificates,,
317,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are work instructions current?,Controlled document system,,
318,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are process changes properly managed?,Change control procedures,,
319,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are supplier evaluations conducted?,Supplier assessment records,,
320,QUALITY CONTROL AND VERIFICATION,QUALITY CONTROL AND VERIFICATION,,Are customer requirements verified?,Requirement verification records,,
321,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are air emissions properly controlled?,Emission control verification,,
322,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are wastewater discharges compliant?,Discharge monitoring records,,
323,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are hazardous wastes properly managed?,Waste manifests and records,,
324,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are spill controls adequate?,Spill prevention procedures,,
325,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are storm water controls effective?,Storm water management plan,,
326,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Is waste minimization practiced?,Waste reduction initiatives,,
327,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are recycling targets met?,Recycling performance data,,
328,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are environmental objectives established?,Objective tracking records,,
329,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are chemical inventories maintained?,Chemical inventory lists,,
330,ENVIRONMENTAL COMPLIANCE,ENVIRONMENTAL COMPLIANCE,,Are SDSs readily available?,SDS accessibility verification,,
