question_id,requirement_code,requirement_name,requirement_type,question_text,evidence_required,tags
Q-179,APP-B,DATA SANITIZATION,Appendix,Is software configured to sanitize all locations?,Software configuration verification,APP-B|DATA_SANITIZATION
Q-180,APP-B,DATA SANITIZATION,Appendix,Is software maintained with current patches?,Patch management records,APP-B|DATA_SANITIZATION
Q-181,APP-B,DATA SANITIZATION,Appendix,Are remote service connections removed?,Account disconnection procedures,APP-B|DATA_SANITIZATION
Q-182,APP-B,DATA SANITIZATION,Appendix,Is 1-5% sampling performed on logical sanitization?,Sampling records and results,APP-B|DATA_SANITIZATION
Q-183,APP-B,DATA SANITIZATION,Appendix,Are unsuccessful sanitizations physically destroyed?,Failed device destruction records,APP-B|DATA_SANITIZATION
Q-184,APP-B,DATA SANITIZATION,Appendix,Are quantities processed reconciled with received?,Quantity reconciliation records,APP-B|DATA_SANITIZATION
Q-185,APP-B,DATA SANITIZATION,Appendix,Is Data Protection Representative approval required?,Release authorization records,APP-B|DATA_SANITIZATION
Q-186,APP-C,TEST AND REPAIR,Appendix,Is QMS certification maintained for test/repair operations?,Valid QMS certificate with appropriate scope,APP-C|TEST_AND_REPAIR
Q-187,APP-C,TEST AND REPAIR,Appendix,Is an R2 Reuse Plan documented?,Complete reuse plan document,APP-C|TEST_AND_REPAIR
Q-188,APP-C,TEST AND REPAIR,Appendix,Are worker competencies defined and verified?,Competency requirements and records,APP-C|TEST_AND_REPAIR
Q-189,APP-C,TEST AND REPAIR,Appendix,Are product safety plans implemented?,Safety verification procedures,APP-C|TEST_AND_REPAIR
Q-190,APP-C,TEST AND REPAIR,Appendix,Are test plans defined for each equipment type?,Function-specific test procedures,APP-C|TEST_AND_REPAIR
Q-191,APP-C,TEST AND REPAIR,Appendix,Are pass/fail criteria clearly established?,Documented acceptance criteria,APP-C|TEST_AND_REPAIR
Q-192,APP-C,TEST AND REPAIR,Appendix,Are test results documented and stored?,Test records by serial number,APP-C|TEST_AND_REPAIR
Q-193,APP-C,TEST AND REPAIR,Appendix,Are quality assurance plans effective?,QA procedures and metrics,APP-C|TEST_AND_REPAIR
Q-194,APP-C,TEST AND REPAIR,Appendix,Is test equipment accuracy verified?,Calibration records,APP-C|TEST_AND_REPAIR
Q-195,APP-C,TEST AND REPAIR,Appendix,Are failed items prevented from unintended use?,Segregation and control procedures,APP-C|TEST_AND_REPAIR
Q-196,APP-C,TEST AND REPAIR,Appendix,Is a product return policy maintained?,Return policy documentation,APP-C|TEST_AND_REPAIR
Q-197,APP-C,TEST AND REPAIR,Appendix,Are items tested within one year of receipt?,Processing time records,APP-C|TEST_AND_REPAIR
Q-198,APP-C,TEST AND REPAIR,Appendix,Is data sanitized before testing?,Pre-test sanitization verification,APP-C|TEST_AND_REPAIR
Q-199,APP-C,TEST AND REPAIR,Appendix,Are functional categories properly assigned?,REC category assignment records,APP-C|TEST_AND_REPAIR
Q-200,APP-C,TEST AND REPAIR,Appendix,Are safety assessments performed on functional equipment?,Safety check documentation,APP-C|TEST_AND_REPAIR
Q-201,APP-C,TEST AND REPAIR,Appendix,Are test results maintained for each function?,Complete test documentation,APP-C|TEST_AND_REPAIR
Q-202,APP-C,TEST AND REPAIR,Appendix,Are non-functional items properly managed?,Repair or materials recovery routing,APP-C|TEST_AND_REPAIR
Q-203,APP-C,TEST AND REPAIR,Appendix,Are reusable components harvested?,Component recovery procedures,APP-C|TEST_AND_REPAIR
Q-204,APP-C,TEST AND REPAIR,Appendix,Is cosmetic condition accurately described?,Condition grading standards,APP-C|TEST_AND_REPAIR
Q-205,APP-C,TEST AND REPAIR,Appendix,Are recalls checked and addressed?,Recall verification procedures,APP-C|TEST_AND_REPAIR
Q-206,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Is Appendix C certification also maintained?,Dual certification verification,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-207,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are technicians competent for specialty electronics?,Specialized training records,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-208,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Is testable specialty equipment actually tested?,Test records where capable,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-209,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Is prior functionality verified for untestable items?,Source verification documentation,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-210,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are items inspected for physical damage?,Visual inspection records,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-211,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are part numbers verified as accurate?,Part number verification procedures,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-212,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Is data sanitization verified from source?,Source sanitization confirmation,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-213,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are failed verifications properly managed?,Component harvesting procedures,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-214,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are verified items tracked individually?,Unique identifier assignment,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-215,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Is specialty equipment protected during storage?,Protective packaging standards,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-216,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are items labeled with facility information?,Label application records,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-217,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are items identified as Verified Specialty Electronics?,REC category assignment,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-218,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Do stored items maintain positive value?,Value assessment records,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-219,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are sales limited to specific part requests?,Sales order verification,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-220,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Do customers accept untested status?,Customer acknowledgment records,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-221,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are returns accepted at no charge?,No-charge return policy,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-222,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Is end-user sales verification available?,Sales tracking to end users,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-223,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are recycling returns offered free?,Free recycling return program,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-224,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are serial numbers tracked on sales documents?,Serial number documentation,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-225,APP-D,SPECIALTY ELECTRONICS REUSE,Appendix,Are storage conditions appropriate for electronics?,Environmental control verification,APP-D|SPECIALTY_ELECTRONICS_REUSE
Q-226,APP-E,MATERIALS RECOVERY,Appendix,Has a hazards assessment been conducted?,Written hazards identification,APP-E|MATERIALS_RECOVERY
Q-227,APP-E,MATERIALS RECOVERY,Appendix,Is the assessment performed by qualified individuals?,Assessor qualification records,APP-E|MATERIALS_RECOVERY
Q-228,APP-E,MATERIALS RECOVERY,Appendix,Are wash facilities available for decontamination?,Decontamination station verification,APP-E|MATERIALS_RECOVERY
Q-229,APP-E,MATERIALS RECOVERY,Appendix,Are clean eating areas separated from work areas?,Designated clean areas,APP-E|MATERIALS_RECOVERY
Q-230,APP-E,MATERIALS RECOVERY,Appendix,Are work clothes restricted from leaving facility?,Clothing control procedures,APP-E|MATERIALS_RECOVERY
Q-231,APP-E,MATERIALS RECOVERY,Appendix,Is PPE properly cleaned and maintained?,PPE care procedures,APP-E|MATERIALS_RECOVERY
Q-232,APP-E,MATERIALS RECOVERY,Appendix,Are work areas regularly cleaned?,Cleaning schedules and records,APP-E|MATERIALS_RECOVERY
Q-233,APP-E,MATERIALS RECOVERY,Appendix,Are lockout/tagout procedures implemented?,LOTO program documentation,APP-E|MATERIALS_RECOVERY
Q-234,APP-E,MATERIALS RECOVERY,Appendix,Are machine guards in place and functional?,Guard inspection records,APP-E|MATERIALS_RECOVERY
Q-235,APP-E,MATERIALS RECOVERY,Appendix,Are pre-use equipment inspections performed?,Equipment inspection logs,APP-E|MATERIALS_RECOVERY
Q-236,APP-E,MATERIALS RECOVERY,Appendix,Is industrial hygiene monitoring conducted?,Air and wipe sampling results,APP-E|MATERIALS_RECOVERY
Q-237,APP-E,MATERIALS RECOVERY,Appendix,Are mechanical processes re-evaluated annually?,Annual risk reassessment,APP-E|MATERIALS_RECOVERY
Q-238,APP-E,MATERIALS RECOVERY,Appendix,Is mercury monitored where lamps are processed?,Mercury monitoring data,APP-E|MATERIALS_RECOVERY
Q-239,APP-E,MATERIALS RECOVERY,Appendix,Is medical monitoring provided for exposures?,Medical surveillance program,APP-E|MATERIALS_RECOVERY
Q-240,APP-E,MATERIALS RECOVERY,Appendix,Are battery removal areas properly controlled?,Containment measures verification,APP-E|MATERIALS_RECOVERY
Q-241,APP-E,MATERIALS RECOVERY,Appendix,Are FMs removed before shredding?,Pre-shredding inspection records,APP-E|MATERIALS_RECOVERY
Q-242,APP-E,MATERIALS RECOVERY,Appendix,Is mercury recovery demonstrated?,Mercury recovery data,APP-E|MATERIALS_RECOVERY
Q-243,APP-E,MATERIALS RECOVERY,Appendix,Are CRTs/batteries/boards exceptions documented?,Exception justification records,APP-E|MATERIALS_RECOVERY
Q-244,APP-E,MATERIALS RECOVERY,Appendix,Is pollution liability insurance maintained?,Insurance policy verification,APP-E|MATERIALS_RECOVERY
Q-245,APP-E,MATERIALS RECOVERY,Appendix,Are output streams re-categorized?,Output categorization procedures,APP-E|MATERIALS_RECOVERY
Q-246,APP-F,BROKERING,Appendix,Are all brokering activities declared in scope?,Scope documentation of brokering,APP-F|BROKERING
Q-247,APP-F,BROKERING,Appendix,Are brokered materials DSVs properly qualified?,DSV qualification for brokered streams,APP-F|BROKERING
Q-248,APP-F,BROKERING,Appendix,Is QMS certification maintained for brokering?,Valid QMS certificate,APP-F|BROKERING
Q-249,APP-F,BROKERING,Appendix,Are legal requirements identified for brokered materials?,Legal compliance for transactions,APP-F|BROKERING
Q-250,APP-F,BROKERING,Appendix,Are brokered materials tracked using REC categories?,REC application to brokered items,APP-F|BROKERING
Q-251,APP-F,BROKERING,Appendix,Is data security maintained during brokered transport?,Security procedures for shipments,APP-F|BROKERING
Q-252,APP-F,BROKERING,Appendix,Are throughput records maintained for brokered materials?,Transaction documentation,APP-F|BROKERING
Q-253,APP-F,BROKERING,Appendix,Are packaging requirements provided to sellers?,Packaging instruction records,APP-F|BROKERING
Q-254,APP-F,BROKERING,Appendix,"If no facility exists, are Core 3 and 9 exemptions documented?",Exemption justification,APP-F|BROKERING
Q-255,APP-F,BROKERING,Appendix,Are broker-only operations properly identified on certificate?,"""Broker Only"" certificate designation",APP-F|BROKERING
Q-256,APP-F,BROKERING,Appendix,Are brokered international shipments verified as legal?,Import/export documentation,APP-F|BROKERING
Q-257,APP-F,BROKERING,Appendix,Is Core 10 audited for all brokering operations?,Transport requirement compliance,APP-F|BROKERING
Q-258,APP-F,BROKERING,Appendix,Are direct shipments from supplier to DSV tracked?,Direct shipment documentation,APP-F|BROKERING
Q-259,APP-F,BROKERING,Appendix,Are brokered FM materials properly managed?,FM management for brokered items,APP-F|BROKERING
Q-260,APP-F,BROKERING,Appendix,Are customer requirements communicated to DSVs?,Requirement flow-down records,APP-F|BROKERING
Q-261,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are PV modules managed as R2 Controlled Streams?,PV module categorization records,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-262,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are electrical safety hazards assessed?,Electrical hazard assessment,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-263,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are PV modules included in FM Management Plan?,FM Plan with PV modules,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-264,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Is there a process to prevent electrical conduction?,Written safety procedures,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-265,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are damaged PV modules stored indoors?,Indoor storage verification,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-266,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are PV modules evaluated for reuse capability?,Evaluation procedures,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-267,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Is power output testing performed?,Wattage test results,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-268,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Is output ratio to original capacity disclosed?,Performance disclosure records,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-269,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are repairs to PV modules documented?,Repair documentation,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-270,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are DSVs qualified for PV module processing?,DSV PV capability verification,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-271,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are materials recovery DSVs compliant with requirements?,Appendix E compliance for PV,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-272,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Is QMS scope appropriate for PV operations?,QMS certificate including PV/solar,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-273,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Is EHSMS scope appropriate for PV handling?,EHSMS certificate including PV/solar,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-274,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are solar cells properly managed as FMs?,Solar cell FM procedures,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-275,APP-G,PHOTOVOLTAIC (PV) MODULES,Appendix,Are brokered PV modules properly tracked?,PV brokering documentation,APP-G|PHOTOVOLTAIC_(PV)_MODULES
Q-276,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Has the facility completed readiness review requirements?,Readiness checklist completion,
Q-277,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are all required management system certificates valid?,Current certificates from IAF MLA signatory,
Q-278,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Has the facility been audited within required timeframes?,Audit schedule compliance,
Q-279,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are all nonconformities properly closed?,NC closure evidence,
Q-280,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are audit packages complete with required attachments?,Table 8 document checklist,
Q-281,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Is the FM Management Plan current and complete?,Updated FM plan with flowchart,
Q-282,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are transaction sheets accurately completed?,Transaction documentation,
Q-283,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are campus locations all properly audited?,Multi-location audit evidence,
Q-284,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Is the correct certification structure identified?,Table 3 structure verification,
Q-285,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are consultant relationships properly documented?,Consultant disclosure records,
Q-286,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Have all legal entities been verified?,Business registration documents,
Q-287,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are DBAs and trade names properly listed?,Name registration verification,
Q-288,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Is the audit time calculation appropriate?,Tables 4 and 5 compliance,
Q-289,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are remote audit requirements met if applicable?,Remote audit qualification,
Q-290,AUDIT PROCESS AND DOCUMENTATION,,Appendix,Are witness inspection findings addressed?,SERI inspection responses,
Q-291,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are financial assurances adequate for risks?,Risk-based financial calculations,
Q-292,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Is the closure plan comprehensive?,Complete closure procedures,
Q-293,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are emergency response procedures documented?,Emergency response plan,
Q-294,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are incident investigations conducted?,Incident investigation records,
Q-295,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are regulatory inspections properly managed?,Inspection response procedures,
Q-296,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Is management review conducted regularly?,Management review minutes,
Q-297,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are performance metrics tracked?,KPI tracking records,
Q-298,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are customer complaints properly addressed?,Complaint resolution records,
Q-299,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Is continuous improvement demonstrated?,Improvement project documentation,
Q-300,RISK MANAGEMENT AND COMPLIANCE,,Appendix,Are internal communications effective?,Communication records,
Q-301,WORKER SAFETY AND TRAINING,,Appendix,Are all workers properly trained before work?,Pre-work training records,
Q-302,WORKER SAFETY AND TRAINING,,Appendix,Is competency verified for assigned tasks?,Competency assessments,
Q-303,WORKER SAFETY AND TRAINING,,Appendix,Are safety meetings conducted regularly?,Safety meeting minutes,
Q-304,WORKER SAFETY AND TRAINING,,Appendix,Is PPE appropriate for hazards?,PPE assessment records,
Q-305,WORKER SAFETY AND TRAINING,,Appendix,Are exposure monitoring results communicated?,Employee notification records,
Q-306,WORKER SAFETY AND TRAINING,,Appendix,Are work restrictions followed for exposures?,Medical restriction compliance,
Q-307,WORKER SAFETY AND TRAINING,,Appendix,Is first aid available and adequate?,First aid station verification,
Q-308,WORKER SAFETY AND TRAINING,,Appendix,Are emergency evacuations practiced?,Evacuation drill records,
Q-309,WORKER SAFETY AND TRAINING,,Appendix,Are visitors properly controlled?,Visitor management procedures,
Q-310,WORKER SAFETY AND TRAINING,,Appendix,Are contractor safety requirements enforced?,Contractor safety programs,
Q-311,QUALITY CONTROL AND VERIFICATION,,Appendix,Are receiving inspections performed?,Incoming inspection records,
Q-312,QUALITY CONTROL AND VERIFICATION,,Appendix,Are process controls maintained?,Process control documentation,
Q-313,QUALITY CONTROL AND VERIFICATION,,Appendix,Are non-conforming materials segregated?,Segregation procedures,
Q-314,QUALITY CONTROL AND VERIFICATION,,Appendix,Are corrective actions effective?,CAR effectiveness verification,
Q-315,QUALITY CONTROL AND VERIFICATION,,Appendix,Are preventive actions implemented?,Preventive action records,
Q-316,QUALITY CONTROL AND VERIFICATION,,Appendix,Is equipment calibrated as required?,Calibration certificates,
Q-317,QUALITY CONTROL AND VERIFICATION,,Appendix,Are work instructions current?,Controlled document system,
Q-318,QUALITY CONTROL AND VERIFICATION,,Appendix,Are process changes properly managed?,Change control procedures,
Q-319,QUALITY CONTROL AND VERIFICATION,,Appendix,Are supplier evaluations conducted?,Supplier assessment records,
Q-320,QUALITY CONTROL AND VERIFICATION,,Appendix,Are customer requirements verified?,Requirement verification records,
Q-321,ENVIRONMENTAL COMPLIANCE,,Appendix,Are air emissions properly controlled?,Emission control verification,
Q-322,ENVIRONMENTAL COMPLIANCE,,Appendix,Are wastewater discharges compliant?,Discharge monitoring records,
Q-323,ENVIRONMENTAL COMPLIANCE,,Appendix,Are hazardous wastes properly managed?,Waste manifests and records,
Q-324,ENVIRONMENTAL COMPLIANCE,,Appendix,Are spill controls adequate?,Spill prevention procedures,
Q-325,ENVIRONMENTAL COMPLIANCE,,Appendix,Are storm water controls effective?,Storm water management plan,
Q-326,ENVIRONMENTAL COMPLIANCE,,Appendix,Is waste minimization practiced?,Waste reduction initiatives,
Q-327,ENVIRONMENTAL COMPLIANCE,,Appendix,Are recycling targets met?,Recycling performance data,
Q-328,ENVIRONMENTAL COMPLIANCE,,Appendix,Are environmental objectives established?,Objective tracking records,
Q-329,ENVIRONMENTAL COMPLIANCE,,Appendix,Are chemical inventories maintained?,Chemical inventory lists,
Q-330,ENVIRONMENTAL COMPLIANCE,,Appendix,Are SDSs readily available?,SDS accessibility verification,
Q-331,BUSINESS CONTINUITY,,Appendix,Is business continuity planning performed?,Continuity plan documentation,
Q-332,BUSINESS CONTINUITY,,Appendix,Are critical suppliers identified?,Supplier risk assessment,
Q-333,BUSINESS CONTINUITY,,Appendix,Are backup systems maintained?,Backup system testing,
Q-334,BUSINESS CONTINUITY,,Appendix,Is data backup performed regularly?,Data backup records,
Q-335,BUSINESS CONTINUITY,,Appendix,Are alternative processing options identified?,Contingency arrangements,
Q-336,BUSINESS CONTINUITY,,Appendix,Is insurance coverage reviewed annually?,Insurance review records,
Q-337,BUSINESS CONTINUITY,,Appendix,Are financial controls adequate?,Financial audit results,
Q-338,BUSINESS CONTINUITY,,Appendix,Are contracts properly managed?,Contract management system,
Q-339,BUSINESS CONTINUITY,,Appendix,Are intellectual property rights protected?,IP protection measures,
Q-340,BUSINESS CONTINUITY,,Appendix,Are confidentiality agreements enforced?,NDA management records,
Q-341,STAKEHOLDER ENGAGEMENT,,Appendix,Are customer requirements documented?,Customer requirement records,
Q-342,STAKEHOLDER ENGAGEMENT,,Appendix,Is customer satisfaction measured?,Satisfaction survey results,
Q-343,STAKEHOLDER ENGAGEMENT,,Appendix,Are supplier relationships managed?,Supplier management program,
Q-344,STAKEHOLDER ENGAGEMENT,,Appendix,Is community engagement performed?,Community interaction records,
Q-345,STAKEHOLDER ENGAGEMENT,,Appendix,Are regulatory relationships maintained?,Regulatory correspondence,
Q-346,STAKEHOLDER ENGAGEMENT,,Appendix,Are industry associations engaged?,Association participation,
Q-347,STAKEHOLDER ENGAGEMENT,,Appendix,Is transparency maintained as required?,Public disclosure records,
Q-348,STAKEHOLDER ENGAGEMENT,,Appendix,Are stakeholder concerns addressed?,Concern response records,
Q-349,STAKEHOLDER ENGAGEMENT,,Appendix,Is marketing accurate and compliant?,Marketing material review,
Q-350,STAKEHOLDER ENGAGEMENT,,Appendix,Are certifications properly displayed?,Certificate display verification,
Q-351,SPECIAL CONSIDERATIONS,,Appendix,Are Basel Convention requirements met?,Basel compliance documentation,
Q-352,SPECIAL CONSIDERATIONS,,Appendix,Are e-Stewards requirements considered?,Dual certification management,
Q-353,SPECIAL CONSIDERATIONS,,Appendix,Are OEM requirements fulfilled?,OEM agreement compliance,
Q-354,SPECIAL CONSIDERATIONS,,Appendix,Are government contracts properly managed?,Government compliance records,
Q-355,SPECIAL CONSIDERATIONS,,Appendix,Are data destruction certificates provided?,Certificate issuance records,
Q-356,SPECIAL CONSIDERATIONS,,Appendix,Are asset recovery services documented?,Asset tracking documentation,
Q-357,SPECIAL CONSIDERATIONS,,Appendix,Are ITAD services properly managed?,ITAD service records,
Q-358,SPECIAL CONSIDERATIONS,,Appendix,Are refurbishment standards maintained?,Refurbishment specifications,
Q-359,SPECIAL CONSIDERATIONS,,Appendix,Are warranty provisions adequate?,Warranty program documentation,
Q-360,SPECIAL CONSIDERATIONS,,Appendix,Are reverse logistics managed?,Return logistics procedures,
Q-361,CERTIFICATION MAINTENANCE,,Appendix,Are surveillance audits scheduled properly?,12-month maximum intervals,
Q-362,CERTIFICATION MAINTENANCE,,Appendix,Are certificate changes reported timely?,7-day notification records,
Q-363,CERTIFICATION MAINTENANCE,,Appendix,Are scope changes properly evaluated?,Scope change assessments,
Q-364,CERTIFICATION MAINTENANCE,,Appendix,Are facility moves properly managed?,Location change procedures,
Q-365,CERTIFICATION MAINTENANCE,,Appendix,Are name changes properly documented?,Name change verification,
Q-366,CERTIFICATION MAINTENANCE,,Appendix,Are structure changes properly assessed?,Structure change evaluation,
Q-367,CERTIFICATION MAINTENANCE,,Appendix,Is SERI licensing current?,License acknowledgment,
Q-368,CERTIFICATION MAINTENANCE,,Appendix,Are CB communications timely?,Communication records,
Q-369,CERTIFICATION MAINTENANCE,,Appendix,Are nonconformity deadlines met?,Table 6 compliance,
Q-370,CERTIFICATION MAINTENANCE,,Appendix,Are major NCs properly managed?,Major NC resolution,
Q-371,FINAL VERIFICATION,,Appendix,Can the facility demonstrate overall R2 compliance?,Comprehensive compliance evidence,
Q-372,FINAL VERIFICATION,,Appendix,Are all applicable appendices properly implemented?,Appendix implementation verification,
Q-373,FINAL VERIFICATION,,Appendix,Is the management system effectively integrated?,System integration evidence,
Q-374,FINAL VERIFICATION,,Appendix,Are resources adequate for compliance?,Resource adequacy assessment,
Q-375,FINAL VERIFICATION,,Appendix,Is top management committed to R2?,Management commitment evidence,
Q-376,FINAL VERIFICATION,,Appendix,Are roles and responsibilities clearly defined?,Organizational chart and descriptions,
Q-377,FINAL VERIFICATION,,Appendix,Is documentation control effective?,Document control system,
Q-378,FINAL VERIFICATION,,Appendix,Are records properly maintained?,Records management system,
Q-379,FINAL VERIFICATION,,Appendix,Is the facility prepared for unannounced inspections?,Inspection readiness,
Q-380,FINAL VERIFICATION,,Appendix,Are all R2 requirements demonstrably met?,Complete conformance portfolio,
Q-381,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Are remote audit prerequisites met?,Phase 1 qualification checklist,
Q-382,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Is documentation uploaded timely?,10-day advance upload,
Q-383,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Are video capabilities adequate?,Video tour capability,
Q-384,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Is file sharing secure and functional?,Secure platform access,
Q-385,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Are all areas accessible virtually?,Complete facility coverage,
Q-386,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Are workers available for interviews?,Interview scheduling,
Q-387,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Can operations be observed live?,Active operations verification,
Q-388,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Are connectivity issues resolved?,Stable connection verification,
Q-389,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Is documentation in auditor's language?,Translation if needed,
Q-390,REMOTE AUDIT SPECIFIC (WHERE APPLICABLE),,Appendix,Are follow-up requirements understood?,Phase 5 completion,
Q-391,CONTINUOUS IMPROVEMENT,,Appendix,Are lessons learned captured?,Improvement tracking system,
Q-392,CONTINUOUS IMPROVEMENT,,Appendix,Are best practices shared?,Knowledge sharing records,
Q-393,CONTINUOUS IMPROVEMENT,,Appendix,Are efficiency improvements tracked?,Efficiency metrics,
Q-394,CONTINUOUS IMPROVEMENT,,Appendix,Are cost reductions documented?,Cost benefit analysis,
Q-395,CONTINUOUS IMPROVEMENT,,Appendix,Are innovation initiatives supported?,Innovation program evidence,
Q-396,CONTINUOUS IMPROVEMENT,,Appendix,Are employee suggestions implemented?,Suggestion program records,
Q-397,CONTINUOUS IMPROVEMENT,,Appendix,Are benchmarking activities performed?,Benchmark comparisons,
Q-398,CONTINUOUS IMPROVEMENT,,Appendix,Are industry trends monitored?,Trend analysis records,
Q-399,CONTINUOUS IMPROVEMENT,,Appendix,Are technology upgrades evaluated?,Technology assessment,
Q-400,CONTINUOUS IMPROVEMENT,,Appendix,Is overall performance improving?,Performance trend data,
